Time,Transfer(MBytes),Bandwidth(Mbits/sec),Packet_Lost,Total_Packets,Min_Latency(ms),Max_Latency(ms),Avg_Latency(ms)
0.0000,2.7200,4.5600,579,2518,16.4390,311.5070,233.8220
5.0000,2.7400,4.6000,745,2700,95.6570,333.8120,249.1810
10.0000,1.2900,2.1600,1985,2904,223.0480,737.7080,314.9450
15.0000,0.0238,0.0400,2307,2324,479.1900,554.4180,531.2970
20.0000,0.3018,0.5060,2449,2664,513.2100,595.4680,531.9430
25.0000,0.0154,0.0259,2738,2749,555.0180,780.1330,762.1490
30.0000,0.0070,0.0118,2727,2732,473.7260,695.6480,629.9650
35.0000,0.0070,0.0118,2582,2587,468.3030,549.1160,617.2130
40.0000,0.0505,0.0847,3027,3063,532.8700,785.5060,725.3300
45.0000,0.0126,0.0212,2661,2670,484.6920,577.6410,565.5270
50.0000,0.0084,0.0141,2642,2648,442.8970,507.4780,554.1110
55.0000,0.0126,0.0212,2168,2177,490.1570,786.6320,659.0860
60.0000,0.0070,0.0118,2929,2934,495.2450,786.6320,681.5600
65.0000,0.0210,0.0353,2626,2641,465.1800,524.9130,514.4060
70.0000,0.0238,0.0400,2540,2557,477.6080,529.5920,535.4220
75.0000,0.3291,0.5530,2898,3133,362.0680,1483.5230,526.1840
80.0000,0.0056,0.0094,2168,2172,514.9060,658.0610,704.5290
85.0000,0.0084,0.0141,2742,2748,503.7200,716.2020,724.2780
90.0000,0.0841,0.1410,2631,2691,486.6430,1970.7850,1652.2010
95.0000,0.0070,0.0118,2694,2699,479.7940,761.2760,649.8980
100.0000,0.0098,0.0165,2652,2659,479.7940,592.3870,616.2780
105.0000,0.0267,0.0447,2532,2551,509.0570,2069.6800,709.2080
110.0000,0.0701,0.1180,3533,3583,436.1280,3365.7260,2577.9450
115.0000,0.0070,0.0118,2292,2297,418.1660,537.2020,579.7380
120.0000,0.0421,0.0706,2694,2724,457.6930,538.8440,495.9210
125.0000,0.0968,0.1620,1947,2016,484.6670,1053.8060,738.7800
130.0000,0.0070,0.0118,3240,3245,527.8050,909.9120,823.1960
135.0000,0.0154,0.0259,2657,2668,471.7840,532.7050,554.0650
140.0000,0.0070,0.0118,2626,2631,461.0150,617.1120,661.0590
145.0000,0.0154,0.0259,1204,1215,577.1210,764.2810,787.8290
150.0000,0.0084,0.0141,4179,4185,463.0580,764.2810,669.1860
155.0000,0.0070,0.0118,2661,2666,463.0580,541.7500,610.9740
160.0000,0.0056,0.0094,2234,2238,485.7510,713.8940,685.7660
165.0000,0.0280,0.0470,2802,2822,465.3450,968.8010,813.8810
170.0000,0.0098,0.0165,2629,2636,498.2630,598.4160,623.6000
175.0000,0.0351,0.0588,2487,2512,498.2630,654.2220,656.6140
180.0000,0.1572,0.2630,3026,3138,499.6310,806.6980,693.7670
185.0000,0.0070,0.0118,2548,2553,475.2160,522.4880,594.2460
190.0000,2.8900,4.8500,409,2472,371.1380,483.3780,406.4310
195.0000,2.6500,4.4500,759,2651,391.7320,584.1940,486.0340
200.0000,2.5900,4.3500,720,2571,437.5120,657.7870,489.2190
205.0000,2.7300,4.5800,825,2771,399.4580,631.9780,482.8830
210.0000,2.5700,4.3100,850,2684,405.3020,650.8970,503.9160
215.0000,3.1400,5.2600,443,2681,339.8970,463.0460,412.6700
220.0000,3.0100,5.0600,522,2672,387.7980,570.2460,428.1940
225.0000,3.0800,5.1700,500,2700,353.7910,575.3300,420.1670
230.0000,3.1000,5.2000,435,2648,374.7630,457.2530,414.6950
235.0000,3.1600,5.2900,448,2699,348.8710,487.6680,409.8000
240.0000,3.2400,5.4300,374,2682,358.9620,557.9730,400.3410
245.0000,3.1900,5.3500,386,2660,371.4920,440.7870,404.5180
250.0000,3.2300,5.4200,384,2690,355.9650,460.4290,400.6190
255.0000,2.8000,4.7000,646,2643,373.6580,600.1290,459.4860
260.0000,2.7900,4.6800,689,2677,426.0700,516.1760,465.4330
265.0000,3.3300,5.5800,370,2744,290.6860,493.5210,388.0720
270.0000,3.9200,6.5800,4,2803,43.9310,304.4760,197.8180
275.0000,3.6300,6.1000,7,2599,56.2480,233.0200,180.3740
280.0000,3.7500,6.3000,0,2678,98.7670,213.6160,165.8460
285.0000,3.6800,6.1800,31,2657,184.7820,278.6310,219.7000
290.0000,3.8100,6.4000,8,2728,133.5060,253.9180,230.2460
295.0000,3.6800,6.1700,0,2625,55.5640,280.9760,102.5230
