Time,Transfer(MBytes),Bandwidth(Mbits/sec),Packet_Lost,Total_Packets,Min_Latency(ms),Max_Latency(ms),Avg_Latency(ms)
0.0000,2.4100,4.0400,751,2468,111.0270,626.2200,515.2030
5.0000,1.8100,3.0400,1334,2626,443.7150,598.9450,494.9960
10.0000,2.4200,4.0700,984,2713,465.2250,597.6690,509.0460
15.0000,1.9500,3.2800,1303,2696,473.8260,746.1170,545.3010
20.0000,1.9900,3.3400,1241,2662,471.9330,598.3650,525.5350
25.0000,1.8400,3.0900,1347,2660,487.9190,566.2020,527.2890
30.0000,1.8300,3.0700,1370,2675,503.3390,721.5640,563.1460
35.0000,2.3800,4.0000,918,2617,529.5560,647.5170,581.2950
40.0000,2.4800,4.1600,945,2715,449.1430,668.7340,572.3800
45.0000,2.3200,3.9000,957,2614,541.5920,950.8580,667.0660
50.0000,2.4200,4.0500,944,2668,600.3490,729.4190,673.0050
55.0000,2.3000,3.8600,1027,2667,672.4510,776.1080,724.0510
60.0000,2.0200,3.3900,1191,2631,714.6060,1051.2910,833.7860
65.0000,2.4900,4.1700,972,2746,626.3650,959.6450,707.8550
70.0000,2.5600,4.2900,832,2655,623.8900,745.1870,685.9960
75.0000,2.2100,3.7000,1087,2661,659.8210,1185.7180,813.7280
80.0000,2.5500,4.2900,865,2687,666.5500,795.6920,716.2460
85.0000,2.6300,4.4100,795,2669,641.7200,772.6220,708.2840
90.0000,2.4200,4.0600,790,2516,685.0110,1012.2230,751.0110
95.0000,2.5700,4.3000,999,2829,676.2620,1086.4130,782.9100
100.0000,2.6000,4.3700,810,2666,700.0820,821.2380,743.3800
105.0000,2.4900,4.1800,901,2680,700.0280,908.0230,779.4380
110.0000,2.2100,3.7100,1097,2673,692.0020,1455.3730,877.5160
115.0000,2.2900,3.8400,930,2562,730.9070,945.8850,824.4420
120.0000,2.1000,3.5300,1284,2783,731.7930,1153.4910,940.5860
125.0000,1.8400,3.0800,1008,2319,710.2720,1411.1870,979.8180
130.0000,2.5400,4.2600,1232,3044,703.8970,1414.9460,817.3560
135.0000,2.4600,4.1300,882,2636,703.2720,892.6380,778.6650
140.0000,2.2700,3.8000,928,2545,755.8100,1035.6040,816.9040
145.0000,1.6200,2.7100,1649,2803,725.7370,1587.6600,1235.4110
150.0000,2.4500,4.1200,964,2715,720.6180,926.7170,792.9610
155.0000,2.5200,4.2300,837,2636,706.2770,813.7170,758.7280
160.0000,2.4200,4.0500,800,2523,713.0410,1076.4340,767.7550
165.0000,1.9100,3.2000,1461,2823,759.8890,1418.1250,1046.3620
170.0000,2.5500,4.2700,889,2705,691.6350,835.1180,761.8620
175.0000,2.4500,4.1100,883,2630,675.1830,911.0490,779.7020
180.0000,1.8300,3.0700,1121,2427,776.0230,1655.7110,1022.6990
185.0000,2.3200,3.9000,1299,2956,756.8110,1292.6860,858.7990
190.0000,2.4900,4.1800,879,2656,683.8890,820.5300,770.3180
195.0000,2.3400,3.9200,900,2568,718.4640,1016.8700,805.3010
200.0000,1.9900,3.3300,1360,2776,711.3770,1493.8660,991.0300
205.0000,2.4300,4.0700,967,2698,743.3420,876.8980,799.7210
210.0000,2.3700,3.9800,903,2596,700.3740,1022.7030,793.4300
215.0000,2.2500,3.7700,1154,2757,740.5710,1243.9280,876.6490
220.0000,2.5300,4.2500,899,2704,701.1340,832.9390,765.2580
225.0000,3.1500,5.2900,480,2730,557.2040,727.3810,616.4560
230.0000,2.6500,4.4500,758,2648,607.6090,843.9230,723.2830
235.0000,2.5900,4.3500,668,2519,653.6800,958.1100,723.5250
240.0000,2.7300,4.5800,869,2816,609.0530,947.8330,722.7560
245.0000,2.5700,4.3100,859,2692,608.6120,957.6290,751.0270
250.0000,3.1400,5.2800,446,2689,514.6280,675.6640,614.7340
255.0000,3.0100,5.0600,522,2672,582.6070,735.0260,638.0740
260.0000,3.0800,5.1700,504,2701,553.1870,862.8770,627.1770
265.0000,3.1100,5.2100,440,2656,569.5310,662.0700,616.9730
270.0000,3.1500,5.2900,444,2694,560.9570,685.5320,611.3390
275.0000,3.2300,5.4300,375,2682,536.5560,894.0730,597.6150
280.0000,3.1900,5.3500,383,2657,567.1100,648.9270,601.9980
285.0000,3.2300,5.4200,371,2676,536.6480,676.7620,598.6020
290.0000,2.8000,4.7000,642,2639,578.8280,895.5070,686.0530
295.0000,2.7900,4.6800,685,2675,644.8510,757.4360,694.8830
