Time,Transfer(MBytes),Bandwidth(Mbits/sec),Packet_Lost,Total_Packets,Min_Latency(ms),Max_Latency(ms),Avg_Latency(ms)
0.0000,19.0900,32.0500,5853,19474,23.3800,259.5030,179.0160
5.0000,19.2600,32.3400,6316,20061,161.3100,291.7400,191.7920
10.0000,19.6600,32.9600,5884,19903,0.0260,374.9870,182.8770
15.0000,19.9100,33.4200,6087,20295,0.0230,474.6590,191.5870
20.0000,20.7000,34.7400,5194,19964,0.0230,402.6110,183.0150
25.0000,20.2400,33.9500,5589,20029,0.0200,466.3950,205.4630
30.0000,19.9200,33.4300,5717,19930,0.0220,556.5390,210.0440
35.0000,18.3500,30.7900,6917,20008,158.0760,549.2180,251.6210
40.0000,15.5600,26.1100,4972,16074,192.0890,395.6290,254.7690
45.0000,15.7900,26.4900,4782,16043,218.9160,391.8580,257.0990
50.0000,16.3200,27.4000,4401,16046,175.9240,329.1050,255.9580
55.0000,16.2500,27.2500,4447,16035,217.8100,428.3980,265.8620
60.0000,16.1100,27.0200,4538,16027,238.4410,440.1400,276.1490
65.0000,16.3200,27.3800,4348,15990,202.6930,333.8860,280.5310
70.0000,16.1500,27.1100,4508,16031,233.2060,363.3490,292.2380
75.0000,14.8900,24.9700,5263,15884,279.8130,461.5720,324.8920
80.0000,15.0800,25.3100,5336,16099,195.4180,450.1780,329.5900
85.0000,15.0200,25.2100,5298,16014,296.4540,429.0700,339.2540
90.0000,14.6900,24.6700,5608,16090,294.6400,493.1000,353.1260
95.0000,14.9100,25.0100,5364,15998,305.9240,522.5640,349.1140
100.0000,16.3400,27.4300,4546,16207,0.3500,539.0060,278.7130
105.0000,14.5000,24.3300,5589,15931,0.3250,700.9730,327.4160
110.0000,12.9600,21.7500,6609,15856,177.4570,619.3280,360.8140
115.0000,11.6600,19.5600,7728,16043,53.2900,648.6580,402.1390
120.0000,11.7500,19.7100,7678,16062,179.5400,835.0390,419.1410
125.0000,12.0800,20.2800,7397,16017,202.2650,680.9490,412.0810
130.0000,12.5200,21.0200,7365,16306,57.5570,633.4900,338.7840
135.0000,12.5000,20.9800,6955,15876,203.1960,1766.6570,358.5920
140.0000,12.9500,21.7300,6822,16063,223.1450,622.8160,367.7000
145.0000,13.2600,22.2600,6616,16079,231.3350,553.7860,358.8940
150.0000,13.0700,21.9200,6767,16084,242.7520,768.3480,371.2660
155.0000,13.0100,21.8300,6747,16024,252.5150,645.7710,372.2800
160.0000,13.4300,22.5200,6453,16030,269.1440,469.5270,361.8830
165.0000,13.1700,22.1000,6903,16299,34.6630,624.8110,373.8130
170.0000,15.0800,25.2900,5401,16153,0.2910,499.8420,283.7030
175.0000,15.6100,26.1900,4853,15990,0.2850,482.2140,275.9980
180.0000,15.1000,25.3300,4973,15742,0.2890,845.4540,286.9800
185.0000,15.1500,25.4400,5546,16360,0.3000,896.2060,294.7320
190.0000,15.0500,25.2700,5264,16007,0.2910,485.2820,290.7310
195.0000,14.9100,25.0200,5467,16101,0.2880,481.9240,249.6590
200.0000,15.1400,25.4200,5304,16111,0.2910,471.8800,255.1230
205.0000,14.9300,25.0400,5449,16091,0.3000,469.8880,259.7860
210.0000,14.4600,24.2500,5404,15719,0.2890,616.9780,271.3990
215.0000,14.6600,24.6100,5779,16241,0.2800,503.5980,285.5190
220.0000,14.9000,24.9900,5527,16155,0.2910,472.9070,280.6930
225.0000,14.0400,23.5600,5720,15737,0.2880,447.9010,289.8430
230.0000,12.9000,21.6200,6905,16100,221.5600,557.6200,344.6190
235.0000,12.7900,21.4600,7066,16189,57.0910,405.0010,301.2440
240.0000,13.2300,22.2100,6560,16001,185.2080,457.9320,301.5650
245.0000,15.1500,25.4100,5408,16209,0.3000,558.3540,256.0750
250.0000,15.0600,25.2700,5109,15850,0.2900,431.0810,253.9730
255.0000,13.6100,22.8100,6352,16053,166.1890,434.4260,298.8050
260.0000,12.6600,21.2500,6973,16011,116.2460,695.1120,332.2140
265.0000,13.4400,22.5500,6493,16081,223.7250,613.3470,325.0250
270.0000,13.5500,22.7300,6344,16005,234.1710,467.0850,326.7380
275.0000,12.6400,21.2000,6930,15944,239.4080,635.8680,358.2450
280.0000,13.4200,22.5000,6579,16145,249.7590,552.7380,341.1700
285.0000,13.3700,22.4200,6340,15876,255.8520,573.7660,345.1690
290.0000,12.8700,21.5900,6917,16091,271.5250,624.5210,369.6130
295.0000,12.9600,21.7400,6775,16020,286.3590,650.2850,369.5570
