time,bandwidth,datagrams
354,6.06,2706
355,5.97,2689
356,5.97,2684
357,5.97,2674
358,5.98,2676
359,5.97,2675
360,5.97,2675
361,5.97,2674
362,5.97,2675
363,5.97,2675
364,5.97,2675
365,5.97,2675
366,5.97,2675
367,5.97,2675
368,5.98,2675
369,5.97,2673
