timestamp,s1-eth1,s1-eth3,s3-eth2,s13-eth2,s7-eth1,s7-eth2,s5-eth1,s6-eth2,s6-eth3,s6-eth4,s6-eth5,s8-eth4,s8-eth5,s8-eth6,s9-eth3,s11-eth4,s2-eth3,s4-eth5,s4-eth6,s4-eth7,s11-eth5,s12-eth3
2025-07-28 00:32:36,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-07-28 00:32:37,0.0004,0.0000,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0010,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0013,0.0004,0.0004
2025-07-28 00:32:38,0.0004,0.0004,0.0004,0.0000,0.0004,0.0010,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0000,0.0006,0.0004,0.0004,0.0004,0.0007,0.0007,0.0004,0.0004,0.0004
2025-07-28 00:32:39,0.0000,0.0004,0.0000,0.0004,0.0004,0.0004,0.0013,0.0004,0.0013,0.0007,0.0013,0.0010,0.0004,0.0007,0.0004,0.0013,0.0004,0.0007,0.0007,0.0007,0.0007,0.0007
2025-07-28 00:32:40,0.0004,0.0004,0.0004,0.0004,0.0010,0.0004,0.0004,0.0004,0.0004,0.0018,0.0018,0.0004,0.0004,0.0018,0.0004,0.0004,0.0000,0.0044,0.0044,0.0018,0.0018,0.0018
2025-07-28 00:32:41,0.0004,0.0004,0.0004,0.0004,0.0000,0.0004,0.0004,0.0013,0.0004,0.0034,0.0028,0.0013,0.0004,0.0034,0.0004,0.0004,0.0004,0.0000,0.0004,0.0034,0.0034,0.0034
2025-07-28 00:32:41,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,h1-h6
2025-07-28 00:32:42,8.2378,0.0000,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0018,0.0011,0.0004,0.0004,0.0004,0.0004,0.0004,8.2378,0.0004,0.0000,8.2374,0.0004,0.0004
2025-07-28 00:32:43,8.2378,0.0004,0.0004,0.0004,0.0004,0.0004,0.0000,0.0004,0.0004,0.0004,0.0013,0.0004,0.0004,0.0013,0.0004,0.0004,8.2378,0.0004,0.0004,8.2378,0.0004,0.0004
2025-07-28 00:32:44,8.2741,0.0010,0.0000,0.0000,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,8.2741,0.0004,0.0004,8.2741,0.0004,0.0004
2025-07-28 00:32:45,8.2495,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0000,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,8.2495,0.0004,0.0004,8.2499,0.0004,0.0010
2025-07-28 00:32:46,8.2499,0.0004,0.0004,0.0004,0.0004,0.0000,0.0004,0.0000,0.0004,0.0000,0.0000,0.0004,0.0004,0.0004,0.0004,0.0004,8.2499,0.0000,0.0000,8.2495,0.0004,0.0004
2025-07-28 00:32:46,0.0484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0484,0.0000,0.0000,0.0484,0.0000,0.0000,h9-h10
2025-07-28 00:32:47,8.2862,0.0000,0.0004,0.0004,0.0004,8.2136,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0010,8.2136,0.0010,0.0004,8.2862,0.0004,0.0004,8.2862,0.0004,0.0004
2025-07-28 00:32:48,8.2499,0.0004,0.0004,0.0010,0.0004,8.2499,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,8.2378,0.0004,0.0004,8.2499,0.0004,0.0004,8.2499,0.0018,0.0013
