timestamp,s1-eth1,s1-eth3,s3-eth2,s13-eth2,s7-eth1,s7-eth2,s5-eth1,s6-eth2,s6-eth3,s6-eth4,s6-eth5,s8-eth4,s8-eth5,s8-eth6,s9-eth3,s11-eth4,s2-eth3,s4-eth5,s4-eth6,s4-eth7,s11-eth5,s12-eth3
2025-07-19 19:29:54,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-07-19 19:29:55,0.0004,0.0004,0.0004,0.0021,0.0004,0.0004,0.0004,0.0000,0.0007,0.0011,0.0007,0.0004,0.0004,0.0019,0.0004,0.0004,0.0004,0.0004,0.0004,0.0034,0.0011,0.0007
2025-07-19 19:29:56,0.0004,0.0004,0.0004,0.0018,0.0004,0.0004,0.0004,0.0004,0.0014,0.0028,0.0011,0.0004,0.0004,0.0007,0.0004,0.0004,0.0004,0.0000,0.0000,0.0000,0.0013,0.0011
2025-07-19 19:29:57,0.0004,0.0000,0.0004,0.0018,0.0004,0.0004,0.0004,0.0004,0.0018,0.0004,0.0011,0.0004,0.0000,0.0030,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0011,0.0016
2025-07-19 19:29:58,0.0000,0.0010,0.0000,0.0000,0.0004,0.0004,0.0004,0.0004,0.0011,0.0004,0.0011,0.0004,0.0004,0.0000,0.0004,0.0004,0.0000,0.0004,0.0004,0.0004,0.0018,0.0010
2025-07-19 19:29:59,0.0004,0.0004,0.0004,0.0016,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0011,0.0004,0.0004,0.0004,0.0010,0.0010,0.0004,0.0004,0.0004,0.0004,0.0013,0.0007
2025-07-19 19:30:00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,h1-h6
2025-07-19 19:30:01,9.2418,0.0013,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,9.2418,0.0000,0.0000,9.2413,0.0004,0.0013
2025-07-19 19:30:02,9.2780,0.0000,0.0004,0.0013,0.0000,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0013,0.0004,0.0004,0.0004,9.2659,0.0004,0.0004,9.2780,0.0004,0.0004
2025-07-19 19:30:03,9.2659,0.0004,0.0000,0.0000,0.0004,0.0004,0.0000,0.0004,0.0004,0.0004,0.0004,0.0006,0.0004,0.0004,0.0004,0.0004,9.3022,0.0004,0.0004,9.2659,0.0004,0.0004
2025-07-19 19:30:04,9.3018,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0010,0.0004,0.0013,0.0004,9.2776,0.0000,0.0000,9.3143,0.0004,0.0004
2025-07-19 19:30:05,9.3264,0.0000,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,9.3264,0.0004,0.0004,9.3139,0.0004,0.0004
2025-07-19 19:30:06,9.3264,0.0004,0.0000,0.0000,0.0004,0.0004,0.0004,0.0004,0.0006,0.0000,0.0000,0.0004,0.0004,0.0004,0.0004,0.0013,9.3264,0.0004,0.0004,9.3264,0.0004,0.0004
2025-07-19 19:30:07,9.2780,0.0004,0.0004,0.0004,0.0004,0.0000,0.0004,0.0004,0.0013,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,9.2780,0.0004,0.0004,9.2780,0.0004,0.0004
2025-07-19 19:30:08,9.3018,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0000,0.0004,0.0004,0.0004,0.0013,0.0004,0.0004,0.0004,0.0004,9.3018,0.0000,0.0000,9.3018,0.0004,0.0004
2025-07-19 19:30:09,9.3143,0.0000,0.0000,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,9.3143,0.0004,0.0004,9.3143,0.0004,0.0004
2025-07-19 19:30:10,9.2901,0.0004,0.0004,0.0000,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0000,0.0000,0.0004,0.0004,9.2418,0.0004,0.0004,9.2901,0.0004,0.0004
2025-07-19 19:30:10,0.0726,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0968,0.0000,0.0000,0.0484,0.0000,0.0000,h9-h10
2025-07-19 19:30:11,9.3260,0.0004,0.0004,0.0004,0.0004,9.2538,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,9.2538,0.0004,0.0004,9.3502,0.0004,0.0004,9.3506,0.0004,0.0004
2025-07-19 19:30:12,9.3022,0.0004,0.0004,0.0004,0.0004,9.3022,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,9.3022,0.0004,0.0004,9.2780,0.0004,0.0004,9.2780,0.0004,0.0004
2025-07-19 19:30:13,9.2780,0.0004,0.0004,0.0004,0.0000,9.2659,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,9.3022,0.0004,0.0004,9.3022,0.0000,0.0000,9.3018,0.0004,0.0004
