timestamp,s1-eth1,s1-eth3,s3-eth2,s13-eth2,s7-eth1,s7-eth2,s5-eth1,s6-eth2,s6-eth3,s6-eth4,s6-eth5,s8-eth4,s8-eth5,s8-eth6,s9-eth3,s11-eth4,s2-eth3,s4-eth5,s4-eth6,s4-eth7,s11-eth5,s12-eth3
2025-07-20 16:12:09,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-07-20 16:12:10,0.0004,0.0004,0.0004,0.0006,0.0004,0.0004,0.0004,0.0004,0.0011,0.0007,0.0007,0.0004,0.0004,0.0007,0.0004,0.0004,0.0004,0.0004,0.0004,0.0011,0.0013,0.0007
2025-07-20 16:12:11,0.0004,0.0004,0.0000,0.0004,0.0000,0.0004,0.0004,0.0004,0.0014,0.0028,0.0007,0.0004,0.0004,0.0011,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0011,0.0007
2025-07-20 16:12:12,0.0000,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0014,0.0004,0.0011,0.0004,0.0004,0.0021,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0016,0.0011
2025-07-20 16:12:13,0.0004,0.0013,0.0004,0.0013,0.0004,0.0004,0.0000,0.0004,0.0011,0.0004,0.0011,0.0004,0.0004,0.0004,0.0010,0.0010,0.0000,0.0004,0.0004,0.0004,0.0018,0.0026
2025-07-20 16:12:14,0.0004,0.0006,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0000,0.0000,0.0007,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0000,0.0000,0.0000,0.0004,0.0004
2025-07-20 16:12:15,0.0004,0.0004,0.0004,0.0000,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0009,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
2025-07-20 16:12:16,0.0000,0.0004,0.0000,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
2025-07-20 16:12:17,0.0004,0.0004,0.0004,0.0004,0.0004,0.0000,0.0004,0.0000,0.0004,0.0004,0.0004,0.0010,0.0004,0.0004,0.0013,0.0004,0.0000,0.0004,0.0004,0.0004,0.0004,0.0004
2025-07-20 16:12:18,0.0004,0.0000,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0013,0.0004,0.0000,0.0004,0.0004,0.0004,0.0004
