timestamp,s1-eth1,s1-eth3,s3-eth2,s13-eth2,s7-eth1,s7-eth2,s5-eth1,s6-eth2,s6-eth3,s6-eth4,s6-eth5,s8-eth4,s8-eth5,s8-eth6,s9-eth3,s11-eth4,s2-eth3,s4-eth5,s4-eth6,s4-eth7,s11-eth5,s12-eth3
2025-07-13 11:37:13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-07-13 11:37:14,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0011,0.0011,0.0007,0.0004,0.0004,0.0016,0.0004,0.0004,0.0004,0.0004,0.0004,0.0007,0.0007,0.0007
2025-07-13 11:37:15,0.0004,0.0004,0.0000,0.0000,0.0004,0.0004,0.0004,0.0004,0.0018,0.0024,0.0011,0.0004,0.0004,0.0011,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0011,0.0011
2025-07-13 11:37:16,0.0000,0.0004,0.0004,0.0004,0.0000,0.0004,0.0004,0.0004,0.0014,0.0004,0.0007,0.0004,0.0004,0.0021,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0011,0.0007
2025-07-13 11:37:17,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0000,0.0004,0.0003,0.0004,0.0011,0.0004,0.0010,0.0004,0.0004,0.0004,0.0000,0.0004,0.0004,0.0004,0.0014,0.0014
2025-07-13 11:37:18,0.0004,0.0000,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0000,0.0007,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0000,0.0000,0.0000,0.0013,0.0007
2025-07-13 11:37:18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,h1-h6
2025-07-13 11:37:19,9.1087,0.0004,0.0004,0.0006,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,9.0845,0.0004,0.0004,9.0724,0.0010,0.0010
2025-07-13 11:37:20,9.4228,0.0013,0.0000,0.0013,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0000,0.0004,0.0010,0.0000,9.4353,0.0004,0.0004,9.4474,0.0004,0.0004
2025-07-13 11:37:21,9.2901,0.0010,0.0004,0.0004,0.0004,0.0000,0.0004,0.0000,0.0004,0.0004,0.0004,0.0004,0.0013,0.0004,0.0004,0.0010,9.3018,0.0004,0.0004,9.3022,0.0004,0.0004
