------------------------------------------------------------
Client connecting to 10.0.0.4, UDP port 5001 with pid 22937
Sending 1470 byte datagrams, IPG target: 1960.00 us (kalman adjust)
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.2 port 55325 connected with 10.0.0.4 port 5001
[ ID] Interval       Transfer     Bandwidth      PPS
[  3] 100.00-105.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 105.00-110.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 110.00-115.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 115.00-120.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 120.00-125.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 125.00-130.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 130.00-135.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 135.00-140.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 140.00-145.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 145.00-150.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 150.00-155.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 155.00-160.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 160.00-165.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 165.00-170.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 170.00-175.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 175.00-180.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 180.00-185.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 185.00-190.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 190.00-195.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 195.00-200.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 200.00-205.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 205.00-210.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 210.00-215.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 215.00-220.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 220.00-225.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 225.00-230.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 230.00-235.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 235.00-240.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 240.00-245.00 sec  3.57 MBytes  6.00 Mbits/sec  510 pps
[  3] 245.00-250.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 250.00-255.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 255.00-260.00 sec  3.57 MBytes  6.00 Mbits/sec  510 pps
[  3] 260.00-265.00 sec  3.58 MBytes  6.00 Mbits/sec  511 pps
[  3] 265.00-270.00 sec  3.57 MBytes  6.00 Mbits/sec  510 pps
[  3] 270.00-275.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 275.00-280.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 280.00-285.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 285.00-290.00 sec  3.57 MBytes  6.00 Mbits/sec  510 pps
[  3] 290.00-295.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 295.00-300.00 sec  3.58 MBytes  6.00 Mbits/sec  510 pps
[  3] 0.00-300.00 sec   215 MBytes  6.00 Mbits/sec  510 pps
[  3] Sent 153063 datagrams
[  3] Server Report:
[  3]  0.0-299.9 sec   145 MBytes  4.05 Mbits/sec   0.404 ms 49784/153063 (33%)
[  3] 0.00-299.94 sec  42 datagrams received out-of-order
