Time,Transfer(MBytes),Bandwidth(Mbits/sec),Packet_Lost,Total_Packets,Min_Latency(ms),Max_Latency(ms),Avg_Latency(ms)
0.0000,1.4000,2.3500,1626,2627,51.5050,205.8030,150.4610
5.0000,1.4000,2.3600,1684,2686,109.9990,187.5310,153.0220
10.0000,1.4400,2.4200,1628,2658,64.0490,189.3300,143.9440
15.0000,1.4200,2.3800,1664,2674,97.8690,244.3080,158.1510
20.0000,1.4200,2.3800,1676,2690,103.8030,184.2560,149.5850
25.0000,1.4400,2.4200,1634,2662,86.9160,180.7510,147.6640
30.0000,3.3700,5.6600,349,2756,1.7420,0.0000,130.2800
35.0000,3.7500,6.3000,0,2678,0.9100,0.0000,5.8690
40.0000,3.7500,6.2900,0,2675,1.2110,0.0000,4.7790
45.0000,3.7500,6.2900,0,2674,0.9470,0.0000,6.7620
50.0000,3.7500,6.2900,0,2675,0.8360,0.0000,3.2780
55.0000,3.7500,6.2900,0,2675,0.6710,0.0000,3.2800
60.0000,3.7500,6.2900,0,2676,1.2940,0.0000,3.7680
65.0000,3.7500,6.2900,0,2675,0.9200,0.0000,3.3050
70.0000,3.7500,6.2900,0,2675,0.6470,0.0000,3.2300
75.0000,3.7500,6.2900,0,2675,0.7990,0.0000,3.2080
80.0000,3.7500,6.2900,0,2674,0.9780,0.0000,3.0910
85.0000,3.7500,6.2900,0,2675,0.8950,0.0000,3.1300
90.0000,3.7500,6.2900,0,2675,0.7160,0.0000,3.9730
95.0000,3.7500,6.2900,0,2674,0.6640,0.0000,3.2500
100.0000,3.7500,6.3000,0,2677,0.8950,0.0000,3.3030
105.0000,3.7500,6.2900,0,2675,0.6920,0.0000,3.6790
110.0000,3.7500,6.2900,0,2674,0.7440,0.0000,3.1490
115.0000,3.7500,6.2900,0,2675,0.6630,0.0000,3.2000
120.0000,3.7500,6.2900,0,2675,0.8800,0.0000,3.3880
125.0000,3.7500,6.2900,0,2675,0.7810,0.0000,3.1400
130.0000,3.7500,6.2900,0,2675,0.5720,0.0000,3.0740
135.0000,3.7500,6.2900,0,2675,0.7910,0.0000,3.3980
140.0000,3.7500,6.2900,0,2674,0.6150,0.0000,3.2290
145.0000,3.7500,6.2900,0,2676,0.7860,0.0000,3.1280
150.0000,3.7500,6.2900,0,2675,0.8970,0.0000,4.3140
155.0000,3.7500,6.2900,0,2675,0.6660,0.0000,3.3270
160.0000,3.7500,6.2900,0,2674,0.6180,0.0000,3.1960
165.0000,3.7500,6.2900,0,2675,0.6850,0.0000,3.3440
170.0000,3.7500,6.2900,0,2675,1.0950,0.0000,3.2180
175.0000,3.7500,6.2900,0,2675,0.6980,0.0000,3.1860
180.0000,3.7500,6.2900,0,2675,1.2020,0.0000,3.5040
185.0000,3.7500,6.2900,0,2675,1.3730,0.0000,3.1810
190.0000,3.7500,6.2900,0,2675,0.7380,0.0000,3.0440
195.0000,3.7500,6.2900,0,2675,0.7330,0.0000,3.1590
200.0000,3.7500,6.2900,0,2675,1.1960,0.0000,2.9900
205.0000,3.7500,6.2900,0,2674,0.7080,0.0000,3.2510
210.0000,3.7500,6.2900,0,2675,1.0780,0.0000,4.2740
215.0000,3.7500,6.2900,0,2676,0.8240,0.0000,3.2230
220.0000,3.7500,6.2900,0,2675,0.8810,0.0000,3.0510
225.0000,3.7500,6.2900,0,2675,0.5700,0.0000,2.9470
230.0000,3.7500,6.2900,0,2674,0.5970,0.0000,2.7870
235.0000,3.7500,6.2900,0,2675,0.6300,0.0000,2.9430
240.0000,3.7500,6.2900,0,2675,0.7120,0.0000,3.1430
245.0000,3.7500,6.2900,0,2676,0.5590,0.0000,2.8020
250.0000,3.7500,6.2900,0,2674,0.5610,0.0000,2.8210
255.0000,3.7500,6.2900,0,2675,0.6750,0.0000,2.9460
260.0000,3.7500,6.2900,0,2676,0.9050,0.0000,2.7670
265.0000,3.7500,6.2900,0,2674,0.6480,0.0000,2.8010
270.0000,3.7500,6.2900,0,2676,0.6880,0.0000,3.4480
275.0000,3.7400,6.2800,0,2671,0.6580,0.0000,2.8530
280.0000,3.7500,6.2900,0,2673,0.7690,0.0000,2.8630
285.0000,3.7600,6.3000,0,2680,0.6070,0.0000,2.8200
290.0000,3.7500,6.2900,0,2675,0.7570,0.0000,2.8360
