Time,Transfer(MBytes),Bandwidth(Mbits/sec),Packet_Lost,Total_Packets,Min_Latency(ms),Max_Latency(ms),Avg_Latency(ms)
0.0000,4.9800,8.3500,345,3895,6.6110,0.0000,130.3630
5.0000,4.8800,8.1900,528,4011,118.2550,197.1100,155.2740
10.0000,4.9300,8.2700,462,3980,130.5230,205.5050,168.4850
15.0000,4.6600,7.8200,686,4009,156.5140,275.3360,193.2230
20.0000,5.0200,8.4300,433,4016,145.7410,208.8070,183.0710
25.0000,4.9600,8.3200,485,4022,126.1000,213.7160,181.9170
30.0000,5.2800,8.8600,263,4029,127.7210,262.9170,165.4380
35.0000,5.3500,8.9800,164,3983,131.4940,211.8810,161.9760
40.0000,5.3400,8.9600,237,4047,103.8160,201.9830,160.5760
45.0000,4.8200,8.0800,531,3968,127.6230,266.8130,186.3910
50.0000,5.2600,8.8300,285,4040,132.0250,223.8980,168.5660
55.0000,5.2200,8.7600,285,4009,116.6670,203.0210,168.0440
60.0000,5.3200,8.9200,249,4041,64.4600,275.5830,135.8950
65.0000,5.2200,8.7700,266,3993,141.0660,201.5530,170.0140
70.0000,5.3000,8.9000,213,3995,92.4220,202.1800,159.4960
75.0000,3.4900,5.8600,1415,3907,194.3970,403.7120,303.1400
80.0000,3.5700,5.9900,1432,3980,251.8610,375.0650,309.0820
85.0000,3.7000,6.2000,1380,4016,137.8600,376.9140,268.1160
90.0000,3.5100,5.8900,1550,4056,219.4330,481.4020,305.0230
95.0000,3.6500,6.1200,1468,4072,231.9280,346.9940,300.6060
100.0000,3.6500,6.1200,1337,3940,187.6460,349.5430,281.3230
105.0000,3.8300,6.4200,1382,4112,160.1210,462.5780,254.0030
110.0000,1.8500,3.1100,2532,3853,197.9460,438.7150,361.2600
115.0000,1.7900,3.0100,2704,3983,279.2330,443.9100,383.1190
120.0000,0.3965,0.6660,941,1224,168.5020,461.6590,416.8440
125.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000
130.0000,0.0014,0.0024,12184,12185,127.6780,127.6780,127.6780
135.0000,0.0084,0.0141,0,4,127.6780,173.7960,174.6660
140.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000
145.0000,0.0014,0.0024,12130,12131,91.9470,91.9470,91.9470
150.0000,0.0154,0.0259,0,5,91.9470,141.4420,133.8540
155.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000
160.0000,0.0014,0.0024,12079,12080,146.1310,146.1310,146.1310
165.0000,0.0141,0.0235,0,7,146.1310,202.0910,198.2110
170.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000
175.0000,0.0014,0.0024,12177,12178,84.2080,84.2080,84.2080
180.0000,0.0322,0.0541,0,11,84.2080,184.2440,148.6350
185.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000
190.0000,0.0014,0.0024,12150,12151,101.3800,101.3800,101.3800
195.0000,0.0126,0.0212,0,4,101.3800,147.0850,143.6410
200.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000
205.0000,0.0014,0.0024,12153,12154,63.1060,63.1060,63.1060
210.0000,0.0267,0.0447,0,9,63.1060,139.8460,117.4970
